n_acesso,ddat_ano,ddat_mes,ddat_dia,ddat_dia_semana,ddat_semestre,ddat_trimestre,darq_id,acess_id
1,2016,10,11,ter,2,4,17935,17528
10,2016,10,11,ter,2,4,17528,18673
1,2016,10,11,ter,2,4,18673,19034
41,2016,10,11,ter,2,4,19034,18771
192,2016,10,11,ter,2,4,18771,18148
3,2016,10,13,qui,2,4,18148,17640
5,2016,10,13,qui,2,4,17640,17198
1,2016,10,13,qui,2,4,17198,18164
12,2016,10,13,qui,2,4,18164,17520
53,2016,10,13,qui,2,4,17520,18148
3,2016,10,13,qui,2,4,18148,18617
12,2016,10,13,qui,2,4,18617,18771
192,2016,10,13,qui,2,4,18771,18934
1,2016,10,14,sex,2,4,18934,17955
1,2016,10,14,sex,2,4,17955,18617
12,2016,10,14,sex,2,4,18617,19043
2,2016,10,14,sex,2,4,19043,18617
12,2016,10,14,sex,2,4,18617,17724
2,2016,10,14,sex,2,4,17724,18514
4,2016,10,14,sex,2,4,18514,17857
1,2016,10,14,sex,2,4,17857,17520
53,2016,10,14,sex,2,4,17520,17448
10,2016,10,14,sex,2,4,17448,19034
41,2016,10,17,seg,2,4,19034,17727
2,2016,10,17,seg,2,4,17727,17727
2,2016,10,17,seg,2,4,17727,19071
4,2016,10,17,seg,2,4,19071,18771
192,2016,10,17,seg,2,4,18771,17989
31,2016,10,17,seg,2,4,17989,17989
31,2016,10,17,seg,2,4,17989,18514
4,2016,10,17,seg,2,4,18514,17347
64,2016,10,18,ter,2,4,17347,17448
10,2016,10,18,ter,2,4,17448,18402
4,2016,10,18,ter,2,4,18402,19154
53,2016,10,18,ter,2,4,19154,17429
15,2016,10,18,ter,2,4,17429,18125
34,2016,10,18,ter,2,4,18125,17528
10,2016,10,18,ter,2,4,17528,19146
7,2016,10,18,ter,2,4,19146,18148
3,2016,10,18,ter,2,4,18148,17225
4,2016,10,20,qui,2,4,17225,18193
19,2016,10,20,qui,2,4,18193,19072
54,2016,10,20,qui,2,4,19072,18084
44,2016,10,20,qui,2,4,18084,18264
24,2016,10,20,qui,2,4,18264,18771
192,2016,10,20,qui,2,4,18771,18370
9,2016,10,20,qui,2,4,18370,17347
64,2016,10,20,qui,2,4,17347,18953
1,2016,10,20,qui,2,4,18953,18771
192,2016,10,21,sex,2,4,18771,18795
29,2016,10,21,sex,2,4,18795,19072
54,2016,10,21,sex,2,4,19072,18514
4,2016,10,21,sex,2,4,18514,19110
3,2016,10,21,sex,2,4,19110,18771
192,2016,10,21,sex,2,4,18771,17347
64,2016,10,21,sex,2,4,17347,18125
34,2016,10,21,sex,2,4,18125,18264
24,2016,10,21,sex,2,4,18264,18264
24,2016,10,21,sex,2,4,18264,17551
4,2016,10,22,sb,2,4,17551,19138
19,2016,10,22,sb,2,4,19138,18455
10,2016,10,22,sb,2,4,18455,18125
34,2016,10,24,seg,2,4,18125,19000
56,2016,10,24,seg,2,4,19000,18771
192,2016,10,24,seg,2,4,18771,18800
13,2016,10,24,seg,2,4,18800,17528
10,2016,10,24,seg,2,4,17528,19071
4,2016,10,25,ter,2,4,19071,17528
10,2016,10,25,ter,2,4,17528,17641
4,2016,10,25,ter,2,4,17641,18019
16,2016,10,25,ter,2,4,18019,18019
16,2016,10,25,ter,2,4,18019,17757
2,2016,10,25,ter,2,4,17757,18132
3,2016,10,25,ter,2,4,18132,19166
11,2016,10,25,ter,2,4,19166,19154
53,2016,10,25,ter,2,4,19154,19154
53,2016,10,25,ter,2,4,19154,18864
8,2016,10,25,ter,2,4,18864,18023
45,2016,10,25,ter,2,4,18023,18112
1,2016,10,26,qua,2,4,18112,17619
2,2016,10,26,qua,2,4,17619,18844
2,2016,10,26,qua,2,4,18844,17347
64,2016,10,26,qua,2,4,17347,19154
53,2016,10,26,qua,2,4,19154,18771
192,2016,10,26,qua,2,4,18771,17150
82,2016,10,26,qua,2,4,17150,39376
1,2016,10,26,qua,2,4,39376,18455
10,2016,10,26,qua,2,4,18455,18864
8,2016,10,27,qui,2,4,18864,17520
53,2016,10,27,qui,2,4,17520,17520
53,2016,10,27,qui,2,4,17520,18455
10,2016,10,27,qui,2,4,18455,18023
45,2016,10,27,qui,2,4,18023,17347
64,2016,10,28,sex,2,4,17347,17347
64,2016,10,28,sex,2,4,17347,19000
56,2016,10,28,sex,2,4,19000,19154
53,2016,10,28,sex,2,4,19154,17429
15,2016,10,28,sex,2,4,17429,19072
54,2016,10,28,sex,2,4,19072,18771
192,2016,10,28,sex,2,4,18771,19072
54,2016,10,28,sex,2,4,19072,19154
53,2016,10,28,sex,2,4,19154,17797
25,2016,10,28,sex,2,4,17797,18326
3,2016,10,28,sex,2,4,18326,18326
3,2016,10,28,sex,2,4,18326,17797
25,2016,10,29,sb,2,4,17797,18771
192,2016,10,29,sb,2,4,18771,19072
54,2016,10,29,sb,2,4,19072,18066
2,2016,10,29,sb,2,4,18066,18066
2,2016,10,29,sb,2,4,18066,17562
2,2016,10,31,seg,2,4,17562,18084
44,2016,10,31,seg,2,4,18084,19071
4,2016,10,31,seg,2,4,19071,17520
53,2016,10,31,seg,2,4,17520,19072
54,2016,10,31,seg,2,4,19072,18771
192,2016,10,31,seg,2,4,18771,17797
25,2016,10,31,seg,2,4,17797,17347
64,2016,10,31,seg,2,4,17347,19138
19,2016,10,31,seg,2,4,19138,17244
12,2016,10,31,seg,2,4,17244,18999
1,2016,11,1,ter,2,4,18999,17574
17,2016,11,1,ter,2,4,17574,17528
10,2016,11,1,ter,2,4,17528,18771
192,2016,11,1,ter,2,4,18771,19034
41,2016,11,1,ter,2,4,19034,19034
41,2016,11,1,ter,2,4,19034,18805
1,2016,11,1,ter,2,4,18805,17448
10,2016,11,3,qui,2,4,17448,18125
34,2016,11,3,qui,2,4,18125,19154
53,2016,11,3,qui,2,4,19154,19154
53,2016,11,3,qui,2,4,19154,19072
54,2016,11,3,qui,2,4,19072,17150
82,2016,11,3,qui,2,4,17150,18307
3,2016,11,3,qui,2,4,18307,17781
3,2016,11,3,qui,2,4,17781,17448
10,2016,11,3,qui,2,4,17448,17698
1,2016,11,4,sex,2,4,17698,19071
4,2016,11,4,sex,2,4,19071,18593
18,2016,11,4,sex,2,4,18593,17150
82,2016,11,4,sex,2,4,17150,18617
12,2016,11,4,sex,2,4,18617,17150
82,2016,11,4,sex,2,4,17150,18090
7,2016,11,4,sex,2,4,18090,17919
6,2016,11,4,sex,2,4,17919,17347
64,2016,11,5,sb,2,4,17347,17520
53,2016,11,5,sb,2,4,17520,18771
192,2016,11,5,sb,2,4,18771,18125
34,2016,11,5,sb,2,4,18125,18514
4,2016,11,7,seg,2,4,18514,18771
192,2016,11,7,seg,2,4,18771,17989
31,2016,11,7,seg,2,4,17989,19072
54,2016,11,7,seg,2,4,19072,17797
25,2016,11,7,seg,2,4,17797,18771
192,2016,11,7,seg,2,4,18771,17348
1,2016,11,7,seg,2,4,17348,17352
1,2016,11,7,seg,2,4,17352,17892
2,2016,11,7,seg,2,4,17892,17892
2,2016,11,7,seg,2,4,17892,17730
5,2016,11,7,seg,2,4,17730,17244
12,2016,11,7,seg,2,4,17244,18825
10,2016,11,8,ter,2,4,18825,17150
82,2016,11,8,ter,2,4,17150,17150
82,2016,11,8,ter,2,4,17150,19146
7,2016,11,8,ter,2,4,19146,17448
10,2016,11,8,ter,2,4,17448,18023
45,2016,11,8,ter,2,4,18023,18264
24,2016,11,9,qua,2,4,18264,18084
44,2016,11,9,qua,2,4,18084,17347
64,2016,11,9,qua,2,4,17347,18019
16,2016,11,9,qua,2,4,18019,39108
1,2016,11,9,qua,2,4,39108,18790
1,2016,11,9,qua,2,4,18790,17722
1,2016,11,9,qua,2,4,17722,18019
16,2016,11,9,qua,2,4,18019,18771
192,2016,11,9,qua,2,4,18771,18259
6,2016,11,9,qua,2,4,18259,18023
45,2016,11,9,qua,2,4,18023,18023
45,2016,11,9,qua,2,4,18023,19000
56,2016,11,9,qua,2,4,19000,17448
10,2016,11,10,qui,2,4,17448,18593
18,2016,11,10,qui,2,4,18593,19034
41,2016,11,10,qui,2,4,19034,17448
10,2016,11,10,qui,2,4,17448,19034
41,2016,11,10,qui,2,4,19034,18093
2,2016,11,10,qui,2,4,18093,17789
1,2016,11,10,qui,2,4,17789,18663
3,2016,11,10,qui,2,4,18663,18663
3,2016,11,10,qui,2,4,18663,17448
10,2016,11,10,qui,2,4,17448,18402
4,2016,11,10,qui,2,4,18402,17797
25,2016,11,10,qui,2,4,17797,18593
18,2016,11,10,qui,2,4,18593,18593
18,2016,11,10,qui,2,4,18593,18593
18,2016,11,10,qui,2,4,18593,18593
18,2016,11,10,qui,2,4,18593,18771
192,2016,11,10,qui,2,4,18771,19000
56,2016,11,10,qui,2,4,19000,18125
34,2016,11,10,qui,2,4,18125,19154
53,2016,11,11,sex,2,4,19154,19072
54,2016,11,11,sex,2,4,19072,18771
192,2016,11,11,sex,2,4,18771,19034
41,2016,11,11,sex,2,4,19034,17820
2,2016,11,11,sex,2,4,17820,18084
44,2016,11,11,sex,2,4,18084,17150
82,2016,11,11,sex,2,4,17150,18307
3,2016,11,11,sex,2,4,18307,17781
3,2016,11,11,sex,2,4,17781,19034
41,2016,11,12,sb,2,4,19034,18321
3,2016,11,12,sb,2,4,18321,17893
1,2016,11,12,sb,2,4,17893,18023
45,2016,11,12,sb,2,4,18023,19031
3,2016,11,12,sb,2,4,19031,19043
2,2016,11,12,sb,2,4,19043,17448
10,2016,11,14,seg,2,4,17448,19154
53,2016,11,14,seg,2,4,19154,19154
53,2016,11,14,seg,2,4,19154,19154
53,2016,11,14,seg,2,4,19154,19154
53,2016,11,14,seg,2,4,19154,17448
10,2016,11,14,seg,2,4,17448,17244
12,2016,11,16,qua,2,4,17244,18019
16,2016,11,16,qua,2,4,18019,17520
53,2016,11,16,qua,2,4,17520,19072
54,2016,11,16,qua,2,4,19072,19072
54,2016,11,16,qua,2,4,19072,18771
192,2016,11,16,qua,2,4,18771,18771
192,2016,11,16,qua,2,4,18771,19072
54,2016,11,16,qua,2,4,19072,17347
64,2016,11,17,qui,2,4,17347,19154
53,2016,11,17,qui,2,4,19154,19166
11,2016,11,17,qui,2,4,19166,17528
10,2016,11,17,qui,2,4,17528,18797
2,2016,11,17,qui,2,4,18797,18797
2,2016,11,17,qui,2,4,18797,17640
5,2016,11,17,qui,2,4,17640,17847
4,2016,11,18,sex,2,4,17847,17150
82,2016,11,18,sex,2,4,17150,17847
4,2016,11,18,sex,2,4,17847,17347
64,2016,11,18,sex,2,4,17347,39527
1,2016,11,18,sex,2,4,39527,17547
16,2016,11,18,sex,2,4,17547,17599
1,2016,11,18,sex,2,4,17599,17375
1,2016,11,18,sex,2,4,17375,38798
1,2016,11,18,sex,2,4,38798,17244
12,2016,11,18,sex,2,4,17244,18725
1,2016,11,19,sb,2,4,18725,18404
6,2016,11,19,sb,2,4,18404,17313
1,2016,11,19,sb,2,4,17313,17557
1,2016,11,19,sb,2,4,17557,17347
64,2016,11,19,sb,2,4,17347,18264
24,2016,11,19,sb,2,4,18264,18916
8,2016,11,19,sb,2,4,18916,18193
19,2016,11,19,sb,2,4,18193,18193
19,2016,11,19,sb,2,4,18193,19138
19,2016,11,24,qui,2,4,19138,17520
53,2016,11,24,qui,2,4,17520,19110
3,2016,11,24,qui,2,4,19110,18326
3,2016,11,24,qui,2,4,18326,18834
2,2016,11,24,qui,2,4,18834,39620
20,2016,11,24,qui,2,4,39620,19034
41,2016,11,25,sex,2,4,19034,18084
44,2016,11,25,sex,2,4,18084,19166
11,2016,11,25,sex,2,4,19166,19110
3,2016,11,25,sex,2,4,19110,17520
53,2016,11,25,sex,2,4,17520,19000
56,2016,11,25,sex,2,4,19000,19000
56,2016,11,25,sex,2,4,19000,19000
56,2016,11,25,sex,2,4,19000,19000
56,2016,11,25,sex,2,4,19000,19000
56,2016,11,25,sex,2,4,19000,19000
56,2016,11,25,sex,2,4,19000,19000
56,2016,11,25,sex,2,4,19000,19034
41,2016,11,26,sb,2,4,19034,18084
44,2016,11,26,sb,2,4,18084,39427
2,2016,11,26,sb,2,4,39427,19034
41,2016,11,26,sb,2,4,19034,19000
56,2016,11,26,sb,2,4,19000,39422
78,2016,11,26,sb,2,4,39422,18193
19,2016,11,28,seg,2,4,18193,18462
3,2016,11,28,seg,2,4,18462,17520
53,2016,11,28,seg,2,4,17520,17520
53,2016,11,28,seg,2,4,17520,17534
3,2016,11,28,seg,2,4,17534,18259
6,2016,11,28,seg,2,4,18259,18259
6,2016,11,28,seg,2,4,18259,19124
4,2016,11,28,seg,2,4,19124,18385
15,2016,11,28,seg,2,4,18385,18733
4,2016,11,28,seg,2,4,18733,18385
15,2016,11,28,seg,2,4,18385,18462
3,2016,11,28,seg,2,4,18462,19157
7,2016,11,28,seg,2,4,19157,19138
19,2016,11,28,seg,2,4,19138,19157
7,2016,11,28,seg,2,4,19157,17528
10,2016,11,29,ter,2,4,17528,17528
10,2016,11,29,ter,2,4,17528,19154
53,2016,11,29,ter,2,4,19154,17347
64,2016,11,29,ter,2,4,17347,17528
10,2016,11,29,ter,2,4,17528,17797
25,2016,11,29,ter,2,4,17797,19066
2,2016,11,29,ter,2,4,19066,19066
2,2016,11,29,ter,2,4,19066,17797
25,2016,11,29,ter,2,4,17797,17520
53,2016,11,29,ter,2,4,17520,17551
4,2016,11,30,qua,2,4,17551,18264
24,2016,11,30,qua,2,4,18264,18084
44,2016,11,30,qua,2,4,18084,18264
24,2016,11,30,qua,2,4,18264,18455
10,2016,11,30,qua,2,4,18455,17551
4,2016,11,30,qua,2,4,17551,39396
2,2016,11,30,qua,2,4,39396,39396
2,2016,11,30,qua,2,4,39396,17520
53,2016,11,30,qua,2,4,17520,39620
20,2016,11,30,qua,2,4,39620,19154
53,2016,11,30,qua,2,4,19154,19154
53,2016,11,30,qua,2,4,19154,19154
53,2016,11,30,qua,2,4,19154,39620
20,2016,11,30,qua,2,4,39620,18834
2,2016,11,30,qua,2,4,18834,18084
44,2016,12,1,qui,2,4,18084,19034
41,2016,12,1,qui,2,4,19034,39427
2,2016,12,1,qui,2,4,39427,19154
53,2016,12,1,qui,2,4,19154,18125
34,2016,12,1,qui,2,4,18125,18019
16,2016,12,1,qui,2,4,18019,17547
16,2016,12,1,qui,2,4,17547,18084
44,2016,12,1,qui,2,4,18084,19154
53,2016,12,1,qui,2,4,19154,18132
3,2016,12,1,qui,2,4,18132,19166
11,2016,12,1,qui,2,4,19166,19154
53,2016,12,1,qui,2,4,19154,18879
14,2016,12,2,sex,2,4,18879,18593
18,2016,12,2,sex,2,4,18593,17345
2,2016,12,2,sex,2,4,17345,17520
53,2016,12,2,sex,2,4,17520,17547
16,2016,12,2,sex,2,4,17547,18084
44,2016,12,2,sex,2,4,18084,17594
3,2016,12,2,sex,2,4,17594,17641
4,2016,12,2,sex,2,4,17641,17807
1,2016,12,2,sex,2,4,17807,19115
1,2016,12,2,sex,2,4,19115,18771
192,2016,12,2,sex,2,4,18771,18879
14,2016,12,2,sex,2,4,18879,39751
1,2016,12,3,sb,2,4,39751,18800
13,2016,12,3,sb,2,4,18800,17520
53,2016,12,3,sb,2,4,17520,18125
34,2016,12,3,sb,2,4,18125,18731
3,2016,12,3,sb,2,4,18731,18771
192,2016,12,3,sb,2,4,18771,17574
17,2016,12,3,sb,2,4,17574,17551
4,2016,12,3,sb,2,4,17551,17136
1,2016,12,3,sb,2,4,17136,18388
1,2016,12,3,sb,2,4,18388,18023
45,2016,12,3,sb,2,4,18023,18771
192,2016,12,5,seg,2,4,18771,18023
45,2016,12,5,seg,2,4,18023,18455
10,2016,12,5,seg,2,4,18455,18455
10,2016,12,5,seg,2,4,18455,17347
64,2016,12,5,seg,2,4,17347,17150
82,2016,12,5,seg,2,4,17150,17845
1,2016,12,6,ter,2,4,17845,18771
192,2016,12,6,ter,2,4,18771,18593
18,2016,12,6,ter,2,4,18593,19072
54,2016,12,6,ter,2,4,19072,18771
192,2016,12,6,ter,2,4,18771,18274
1,2016,12,6,ter,2,4,18274,18455
10,2016,12,6,ter,2,4,18455,17528
10,2016,12,6,ter,2,4,17528,18455
10,2016,12,7,qua,2,4,18455,39422
78,2016,12,7,qua,2,4,39422,18808
2,2016,12,7,qua,2,4,18808,18413
4,2016,12,7,qua,2,4,18413,19031
3,2016,12,7,qua,2,4,19031,18203
3,2016,12,7,qua,2,4,18203,18084
44,2016,12,7,qua,2,4,18084,17957
1,2016,12,7,qua,2,4,17957,18084
44,2016,12,7,qua,2,4,18084,18084
44,2016,12,7,qua,2,4,18084,17195
1,2016,12,7,qua,2,4,17195,18264
24,2016,12,7,qua,2,4,18264,17244
12,2016,12,8,qui,2,4,17244,18800
13,2016,12,8,qui,2,4,18800,18800
13,2016,12,8,qui,2,4,18800,18800
13,2016,12,8,qui,2,4,18800,18800
13,2016,12,8,qui,2,4,18800,19138
19,2016,12,8,qui,2,4,19138,19138
19,2016,12,8,qui,2,4,19138,19138
19,2016,12,8,qui,2,4,19138,19138
19,2016,12,8,qui,2,4,19138,19138
19,2016,12,8,qui,2,4,19138,19138
19,2016,12,8,qui,2,4,19138,19138
19,2016,12,8,qui,2,4,19138,18771
192,2016,12,8,qui,2,4,18771,19072
54,2016,12,8,qui,2,4,19072,18771
192,2016,12,8,qui,2,4,18771,17989
31,2016,12,8,qui,2,4,17989,17989
31,2016,12,8,qui,2,4,17989,17989
31,2016,12,8,qui,2,4,17989,18093
2,2016,12,8,qui,2,4,18093,18663
3,2016,12,8,qui,2,4,18663,18344
4,2016,12,8,qui,2,4,18344,18019
16,2016,12,8,qui,2,4,18019,18019
16,2016,12,8,qui,2,4,18019,18019
16,2016,12,8,qui,2,4,18019,18019
16,2016,12,8,qui,2,4,18019,18771
192,2016,12,8,qui,2,4,18771,17989
31,2016,12,8,qui,2,4,17989,19000
56,2016,12,8,qui,2,4,19000,19000
56,2016,12,8,qui,2,4,19000,19000
56,2016,12,8,qui,2,4,19000,19000
56,2016,12,8,qui,2,4,19000,19000
56,2016,12,8,qui,2,4,19000,18455
10,2016,12,8,qui,2,4,18455,19138
19,2016,12,8,qui,2,4,19138,19138
19,2016,12,8,qui,2,4,19138,19138
19,2016,12,8,qui,2,4,19138,19138
19,2016,12,8,qui,2,4,19138,19138
19,2016,12,8,qui,2,4,19138,19138
19,2016,12,8,qui,2,4,19138,39422
78,2016,12,9,sex,2,4,39422,17132
2,2016,12,9,sex,2,4,17132,17132
2,2016,12,9,sex,2,4,17132,18402
4,2016,12,9,sex,2,4,18402,19146
7,2016,12,9,sex,2,4,19146,18800
13,2016,12,9,sex,2,4,18800,18370
9,2016,12,9,sex,2,4,18370,19000
56,2016,12,9,sex,2,4,19000,18402
4,2016,12,9,sex,2,4,18402,39422
78,2016,12,9,sex,2,4,39422,17244
12,2016,12,9,sex,2,4,17244,18455
10,2016,12,9,sex,2,4,18455,114246
1,2016,12,9,sex,2,4,114246,18019
16,2016,12,9,sex,2,4,18019,17989
31,2016,12,9,sex,2,4,17989,114260
1,2016,12,9,sex,2,4,114260,19138
19,2016,12,9,sex,2,4,19138,18413
4,2016,12,9,sex,2,4,18413,18203
3,2016,12,9,sex,2,4,18203,39422
78,2016,12,9,sex,2,4,39422,19154
53,2016,12,9,sex,2,4,19154,18800
13,2016,12,9,sex,2,4,18800,19138
19,2016,12,9,sex,2,4,19138,18771
192,2016,12,9,sex,2,4,18771,19072
54,2016,12,9,sex,2,4,19072,19072
54,2016,12,9,sex,2,4,19072,17347
64,2016,12,10,sb,2,4,17347,18019
16,2016,12,10,sb,2,4,18019,18825
10,2016,12,12,seg,2,4,18825,17963
5,2016,12,12,seg,2,4,17963,18297
1,2016,12,12,seg,2,4,18297,131749
32,2016,12,12,seg,2,4,131749,18879
14,2016,12,12,seg,2,4,18879,18879
14,2016,12,12,seg,2,4,18879,19072
54,2016,12,12,seg,2,4,19072,18084
44,2016,12,13,ter,2,4,18084,17919
6,2016,12,13,ter,2,4,17919,17919
6,2016,12,13,ter,2,4,17919,18125
34,2016,12,13,ter,2,4,18125,18193
19,2016,12,13,ter,2,4,18193,18193
19,2016,12,13,ter,2,4,18193,18771
192,2016,12,13,ter,2,4,18771,19038
6,2016,12,13,ter,2,4,19038,17347
64,2016,12,13,ter,2,4,17347,17803
4,2016,12,13,ter,2,4,17803,17956
5,2016,12,13,ter,2,4,17956,17429
15,2016,12,13,ter,2,4,17429,19154
53,2016,12,13,ter,2,4,19154,18294
3,2016,12,14,qua,2,4,18294,18826
1,2016,12,14,qua,2,4,18826,18512
18,2016,12,14,qua,2,4,18512,18771
192,2016,12,14,qua,2,4,18771,19072
54,2016,12,14,qua,2,4,19072,17347
64,2016,12,14,qua,2,4,17347,17878
2,2016,12,14,qua,2,4,17878,17147
3,2016,12,14,qua,2,4,17147,18164
12,2016,12,14,qua,2,4,18164,17680
9,2016,12,14,qua,2,4,17680,18164
12,2016,12,14,qua,2,4,18164,17680
9,2016,12,14,qua,2,4,17680,18512
18,2016,12,14,qua,2,4,18512,94582
3,2016,12,14,qua,2,4,94582,17956
5,2016,12,14,qua,2,4,17956,18601
4,2016,12,14,qua,2,4,18601,39432
7,2016,12,14,qua,2,4,39432,131766
11,2016,12,15,qui,2,4,131766,17929
15,2016,12,15,qui,2,4,17929,18771
192,2016,12,15,qui,2,4,18771,18879
14,2016,12,15,qui,2,4,18879,39422
78,2016,12,15,qui,2,4,39422,39752
5,2016,12,15,qui,2,4,39752,131767
7,2016,12,15,qui,2,4,131767,18193
19,2016,12,15,qui,2,4,18193,18413
4,2016,12,15,qui,2,4,18413,19101
1,2016,12,15,qui,2,4,19101,17825
1,2016,12,15,qui,2,4,17825,19117
2,2016,12,15,qui,2,4,19117,19117
2,2016,12,15,qui,2,4,19117,17409
2,2016,12,15,qui,2,4,17409,19031
3,2016,12,15,qui,2,4,19031,17808
1,2016,12,15,qui,2,4,17808,17704
3,2016,12,15,qui,2,4,17704,17820
2,2016,12,15,qui,2,4,17820,18860
2,2016,12,15,qui,2,4,18860,17956
5,2016,12,15,qui,2,4,17956,18645
2,2016,12,15,qui,2,4,18645,18813
5,2016,12,15,qui,2,4,18813,18084
44,2016,12,15,qui,2,4,18084,19034
